numexp,rms_ra,rms_dec,nmatches,point,segment,gaia,det,wcs,cat,label,index
11,27.72530283,26.15932421,268,3431,5835,336,1,3,4,0,hst_13038_11_wfc3_ir_total_ibya11
8,9.81626558,11.97962952,7,1052,1989,8,3,3,3,0,hst_13029_22_wfc3_uvis_total_ibyb22
8,15.52817508,21.51165294,7,23,13,8,1,3,0,0,hst_12874_07_wfc3_ir_total_ibyh07
16,2.046178448,1.417409464,5,5,5,5,3,3,0,0,hst_12874_07_wfc3_uvis_total_ibyh07
20,11.98509573,14.23470429,54,540,917,56,3,3,3,0,hst_12967_07_wfc3_uvis_total_ibyn07
2,16.35988497,20.89057631,41,1119,393,44,1,3,3,0,hst_12967_07_wfc3_ir_total_ibyn07
8,5.659973324,4.123408673,32,779,1368,34,3,3,5,0,hst_12925_11_wfc3_uvis_total_ibyq11
2,5.206541831,13.37383984,5,130,94,5,1,3,0,0,hst_13023_50_wfc3_ir_total_ibyt50
4,11.92550515,9.621196351,10,111,331,11,3,3,0,0,hst_13023_50_wfc3_uvis_total_ibyt50
8,28.36590877,21.38215807,11,161,106,11,1,3,0,0,hst_12942_02_wfc3_ir_total_ibyu02
8,16.89163633,19.29232449,4,130,79,4,1,3,0,0,hst_12942_15_wfc3_ir_total_ibyu15
4,16.8899441,19.31478726,34,0,0,133,3,3,3,0,hst_12879_23_wfc3_uvis_total_ibzc23
16,1.885662116,5.776619977,3,49,157,4,3,3,1,0,hst_12790_a6_wfc3_uvis_total_ibzta6
12,9.451415672,13.40755452,897,9961,6574,4804,3,3,4,0,hst_12911_56_wfc3_uvis_total_ic0556
7,15.93729323,27.11820074,6,1353,387,7,1,3,0,0,hst_13050_15_wfc3_ir_total_ic0b15
6,9.18878932,8.128276129,7,49,66,9,3,3,0,0,hst_13050_15_wfc3_uvis_total_ic0b15
4,36.25294664,35.88456376,5,210,131,5,1,3,0,0,hst_13002_07_wfc3_ir_total_ic0c07
4,6.196444275,27.21231964,4,203,143,6,1,3,0,0,hst_12861_11_wfc3_ir_total_ic0s11
4,6.579244626,5.698156237,2,174,127,2,1,3,0,0,hst_12861_17_wfc3_ir_total_ic0s17
12,9.755481616,10.13186166,5,202,124,5,1,3,0,0,hst_12959_05_wfc3_ir_total_ic1705
4,22.21300727,22.21847697,21,110,81,23,1,3,3,0,hst_12873_12_wfc3_ir_total_ic1o12
10,0.0,0.0,1,2,2,2,3,3,3,1,hst_12893_15_wfc3_uvis_total_ic1r15
10,16.06804286,18.11600097,7,8,9,7,3,3,3,0,hst_12893_62_wfc3_uvis_total_ic1r62
9,1.173366589,9.344393281,2,25,12,2,1,3,3,0,hst_13046_f3_wfc3_ir_total_ic1xf3
4,7.216448261,8.794200735,5,198,123,5,1,3,3,0,hst_13046_v3_wfc3_ir_total_ic1xv3
22,6.849558678999999,7.550307305,1107,43391,102892,3549,3,3,4,0,hst_13011_01_wfc3_uvis_total_ic1y01
2,31.67348832,5.515280227000001,2,28,25,2,1,3,0,0,hst_13025_sk_wfc3_ir_total_ic27sk
8,-3.0,-3.0,0,1,6,3,3,1,0,0,hst_13025_sk_wfc3_uvis_total_ic27sk
20,33.29823776,12.23053719,7,123,73,7,1,3,1,0,hst_12991_01_wfc3_ir_total_ic2e01
6,3.4558026180000003,4.159479436,8,72,303,11,3,3,1,0,hst_12991_01_wfc3_uvis_total_ic2e01
4,16.90507619,12.45228635,3,62,47,3,1,3,0,0,hst_12990_06_wfc3_ir_total_ic2g06
4,19.65607268,15.75691253,5,77,66,5,1,3,0,0,hst_12990_14_wfc3_ir_total_ic2g14
4,7.040896807,7.962941855,4,41,33,4,1,3,0,0,hst_12990_a0_wfc3_ir_total_ic2ga0
